service_id,date,exception_type
1,20250525,1
1,20250531,1
1,20250601,1
1,20250607,1
1,20250614,1
1,20250615,1
10,20250525,1
10,20250601,1
10,20250615,1
11,20250609,1
11,20250610,1
12,20250525,1
12,20250529,1
12,20250530,1
12,20250531,1
12,20250601,1
12,20250605,1
12,20250606,1
12,20250607,1
12,20250612,1
12,20250613,1
12,20250614,1
12,20250615,1
2,20250526,1
2,20250527,1
2,20250528,1
2,20250529,1
2,20250530,1
2,20250602,1
2,20250603,1
2,20250604,1
2,20250605,1
2,20250606,1
2,20250610,1
2,20250611,1
2,20250612,1
2,20250613,1
3,20250525,1
3,20250531,1
3,20250601,1
3,20250607,1
3,20250608,1
3,20250609,1
3,20250614,1
3,20250615,1
4,20250527,1
4,20250528,1
4,20250529,1
4,20250530,1
4,20250531,1
4,20250603,1
4,20250604,1
4,20250605,1
4,20250606,1
4,20250607,1
4,20250611,1
4,20250612,1
4,20250613,1
4,20250614,1
5,20250525,1
5,20250526,1
5,20250601,1
5,20250602,1
5,20250608,1
5,20250615,1
6,20250608,1
6,20250609,1
7,20250525,1
7,20250526,1
7,20250601,1
7,20250602,1
7,20250608,1
7,20250609,1
7,20250610,1
7,20250615,1
8,20250531,1
8,20250607,1
8,20250614,1
9,20250525,1
9,20250601,1
9,20250608,1
9,20250609,1
9,20250615,1
